game_id,jg_result,jg_matchup,jg_k,jg_a,jg_d,jg_cs,jg_op_cs,jg_gold,jg_damage,jg_matchup_strength,top_result,top_matchup,top_k,top_a,top_d,top_cs,top_op_cs,top_gold,top_damage,top_matchup_strength,mid_result,mid_matchup,mid_k,mid_a,mid_d,mid_cs,mid_op_cs,mid_gold,mid_damage,mid_matchup_strength,bot_result,bot_matchup,bot_k,bot_a,bot_d,bot_cs,bot_op_cs,bot_gold,bot_damage,bot_matchup_strength,sup_result,sup_matchup,sup_k,sup_a,sup_d,sup_cs,sup_op_cs,sup_gold,sup_damage,sup_matchup_strength
1131400,blue win,"Skarner , Rek'Sai",1.9166666666666667,7.166666666666667,0.9166666666666666,90.0,93.58333333333333,11273.416666666666,4207.666666666667,22.0,blue win,"Aatrox , Akali",3.3333333333333335,8.333333333333334,2.6666666666666665,126.66666666666667,136.0,15355.0,16049.333333333334,-2.0,blue win,"Lissandra , Corki",1.0,8.0,2.0,154.0,149.0,16409.0,16032.0,-2.0,blue win,"Xayah , Lucian",4.8,5.6,1.2,129.42857142857142,133.0,16657.428571428572,16006.714285714286,6.0,blue win,"Lux , Nautilus",1.35,11.05,1.75,7.785714285714286,23.428571428571427,9414.214285714286,7493.714285714285,22.0
1144855,blue win,"Jarvan IV , Hecarim",4.0,9.5,3.5,101.0,107.5,13534.0,8771.0,2.0,blue win,"Aatrox , Akali",3.3333333333333335,8.333333333333334,2.6666666666666665,126.66666666666667,136.0,15355.0,16049.333333333334,-2.0,blue win,"Ryze , Sylas",4.5,5.0,1.8333333333333333,138.8,130.4,14854.2,14083.0,-10.0,blue win,"Kai'Sa , Xayah",6.777777777777778,6.277777777777778,1.5555555555555556,132.625,135.25,17546.75,21408.75,10.0,blue win,"Galio , Rakan",0.5,9.666666666666666,3.0,25.75,6.0,8316.0,4139.75,-2.0
1092075,blue win,"Gragas , Jarvan IV",2.25,7.5,1.5,83.0,91.66666666666667,11376.0,10066.333333333334,-6.0,blue win,"Aatrox , Akali",3.3333333333333335,8.333333333333334,2.6666666666666665,126.66666666666667,136.0,15355.0,16049.333333333334,-2.0,blue win,"Viktor , Sylas",3.5,6.0,2.0,112.5,125.0,15257.5,21118.5,2.0,blue win,"Xayah , Ashe",6.0,8.0,1.5,144.0,134.0,17281.0,30339.0,-4.0,blue win,"Rakan , Tahm Kench",0.8,11.6,1.4666666666666666,5.6923076923076925,28.0,9215.0,6079.7692307692305,2.0
1124632,blue win,"Gragas , Sylas",5.0,9.5,2.0,98.0,87.0,15218.0,24118.0,0.0,blue win,"Renekton , Camille",3.0,8.333333333333334,1.3333333333333333,119.5,117.5,13831.5,14174.0,2.0,blue win,"Aatrox , Azir",4.333333333333333,9.0,0.6666666666666666,129.33333333333334,137.66666666666666,14094.666666666666,12629.0,4.0,blue win,"Varus , Lucian",3.5,8.5,2.0,137.0,143.0,14106.0,14910.0,0.0,blue win,"Braum , Nautilus",0.5,11.7,2.6,24.5,25.375,9528.75,4912.625,2.0
1121998,blue loss,"Skarner , Rek'Sai",1.9166666666666667,7.166666666666667,0.9166666666666666,90.0,93.58333333333333,11273.416666666666,4207.666666666667,22.0,blue loss,"Aatrox , Camille",4.285714285714286,4.714285714285714,1.0,131.8,124.0,12278.8,12691.2,-6.0,blue loss,"Taliyah , Azir",3.5,4.5,1.0,143.0,147.5,14672.0,13856.0,-4.0,blue loss,"Ezreal , Kai'Sa",3.5,6.125,1.0,145.25,140.625,14483.5,20170.875,0.0,blue loss,"Nautilus , Tahm Kench",0.75,9.375,2.875,26.166666666666668,32.333333333333336,8197.666666666666,4206.5,0.0
1123988,blue win,"Jarvan IV , Sejuani",1.3571428571428572,12.071428571428571,1.7142857142857142,82.08333333333333,82.58333333333333,10949.416666666666,6647.25,4.0,blue win,"Aatrox , Camille",4.285714285714286,4.714285714285714,1.0,131.8,124.0,12278.8,12691.2,-6.0,blue win,"Azir , Zoe",2.857142857142857,6.857142857142857,1.7142857142857142,143.66666666666666,143.66666666666666,14245.333333333334,16639.666666666668,2.0,blue win,"Sivir , Jinx",4.5,7.5,1.0,152.33333333333334,138.0,13477.0,15199.666666666666,0.0,blue win,"Lux , Tahm Kench",1.0,11.125,1.0833333333333333,6.666666666666667,28.933333333333334,8279.2,7132.0,2.0
1114480,blue win,"Sejuani , Gragas",1.9,8.7,0.5,89.8,92.0,10789.4,5812.4,8.0,blue win,"Aatrox , Camille",4.285714285714286,4.714285714285714,1.0,131.8,124.0,12278.8,12691.2,-6.0,blue win,"Azir , Jayce",3.6666666666666665,6.666666666666667,1.3333333333333333,136.0,145.0,12216.0,8655.0,0.0,blue win,"Ezreal , Kai'Sa",3.5,6.125,1.0,145.25,140.625,14483.5,20170.875,0.0,blue win,"Yuumi , Lux",1.2941176470588236,11.705882352941176,0.5882352941176471,3.0833333333333335,7.166666666666667,9607.416666666666,14417.833333333334,-14.0
1124472,blue loss,"Sejuani , Jarvan IV",2.3333333333333335,10.25,0.6666666666666666,88.44444444444444,87.0,11030.0,7369.666666666667,-4.0,blue loss,"Aatrox , Camille",4.285714285714286,4.714285714285714,1.0,131.8,124.0,12278.8,12691.2,-6.0,blue loss,"Azir , Zoe",2.857142857142857,6.857142857142857,1.7142857142857142,143.66666666666666,143.66666666666666,14245.333333333334,16639.666666666668,2.0,blue loss,"Sivir , Kai'Sa",5.666666666666667,6.777777777777778,1.3888888888888888,144.375,131.75,16477.125,20439.25,4.0,blue loss,"Lux , Nautilus",1.35,11.05,1.75,7.785714285714286,23.428571428571427,9414.214285714286,7493.714285714285,22.0
1131632,blue win,"Olaf , Sejuani",4.1,6.8,1.3,88.66666666666667,83.66666666666667,13001.555555555555,11164.222222222223,-4.0,blue win,"Aatrox , Fiora",3.4285714285714284,4.428571428571429,1.1428571428571428,129.25,122.75,13688.0,14177.0,2.0,blue win,"Lissandra , Camille",2.0,4.0,1.0,174.0,147.0,18793.0,23702.0,0.0,blue win,"Ezreal , Sivir",3.8125,6.4375,0.8125,140.28571428571428,143.92857142857142,16329.142857142857,23168.0,-2.0,blue win,"Lux , Tahm Kench",1.0,11.125,1.0833333333333333,6.666666666666667,28.933333333333334,8279.2,7132.0,2.0
1132857,blue win,"Sejuani , Trundle",2.0,8.7,1.6,89.83333333333333,77.66666666666667,11315.666666666666,6506.166666666667,-16.0,blue win,"Aatrox , Fiora",3.4285714285714284,4.428571428571429,1.1428571428571428,129.25,122.75,13688.0,14177.0,2.0,blue win,"Yasuo , Sylas",4.25,8.75,3.0,148.0,134.0,13280.0,13730.0,4.0,blue win,"Sivir , Kai'Sa",5.666666666666667,6.777777777777778,1.3888888888888888,144.375,131.75,16477.125,20439.25,4.0,blue win,"Tahm Kench , Lux",0.7391304347826086,8.652173913043478,1.2173913043478262,47.388888888888886,7.722222222222222,9531.5,4456.444444444444,-2.0
