winner,loser,win,loss,matchup_strength
Aatrox,Akali,3.0,4.0,-2.0
Aatrox,Azir,3.0,1.0,4.0
Aatrox,Camille,7.0,10.0,-6.0
Aatrox,Fiora,7.0,6.0,2.0
Aatrox,Gangplank,11.0,5.0,12.0
Aatrox,Gnar,1.0,6.0,-10.0
Aatrox,Gragas,1.0,1.0,0.0
Aatrox,Irelia,10.0,5.0,10.0
Aatrox,Jax,2.0,5.0,-6.0
Aatrox,Jayce,14.0,9.0,10.0
Aatrox,Karma,3.0,1.0,4.0
Aatrox,Kennen,11.0,10.0,2.0
Aatrox,Kled,1.0,1.0,0.0
Aatrox,Neeko,5.0,7.0,-4.0
Aatrox,Rek'Sai,1.0,1.0,0.0
Aatrox,Renekton,3.0,2.0,2.0
Aatrox,Riven,1.0,1.0,0.0
Aatrox,Ryze,2.0,3.0,-2.0
Aatrox,Sejuani,1.0,2.0,-2.0
Aatrox,Sion,1.0,3.0,-4.0
Aatrox,Sylas,2.0,6.0,-8.0
Aatrox,Yasuo,1.0,1.0,0.0
Akali,Aatrox,4.0,3.0,2.0
Akali,Azir,4.0,6.0,-4.0
Akali,Corki,3.0,2.0,2.0
Akali,Gangplank,2.0,1.0,2.0
Akali,Irelia,5.0,2.0,6.0
Akali,Jayce,2.0,3.0,-2.0
Akali,Karma,2.0,1.0,2.0
Akali,Renekton,3.0,5.0,-4.0
Akali,Ryze,3.0,3.0,0.0
Akali,Sylas,5.0,5.0,0.0
Akali,Vladimir,1.0,1.0,0.0
Akali,Yasuo,2.0,2.0,0.0
Alistar,Lux,2.0,1.0,2.0
Alistar,Nautilus,7.0,3.0,8.0
Alistar,Yuumi,7.0,4.0,6.0
Anivia,Azir,1.0,1.0,0.0
Ashe,Ezreal,1.0,3.0,-4.0
Ashe,Kai'Sa,2.0,1.0,2.0
Ashe,Lucian,1.0,2.0,-2.0
Ashe,Sivir,4.0,4.0,0.0
Ashe,Sona,1.0,1.0,0.0
Ashe,Varus,3.0,3.0,0.0
Ashe,Xayah,4.0,2.0,4.0
Azir,Aatrox,1.0,3.0,-4.0
Azir,Akali,6.0,4.0,4.0
Azir,Anivia,1.0,1.0,0.0
Azir,Camille,1.0,2.0,-2.0
Azir,Corki,16.0,25.0,-18.0
Azir,Ekko,1.0,1.0,0.0
Azir,Irelia,3.0,1.0,4.0
Azir,Jayce,3.0,3.0,0.0
Azir,Karma,2.0,2.0,0.0
Azir,LeBlanc,6.0,3.0,6.0
Azir,Neeko,5.0,4.0,2.0
Azir,Orianna,2.0,2.0,0.0
Azir,Qiyana,2.0,3.0,-2.0
Azir,Sylas,1.0,6.0,-10.0
Azir,Taliyah,4.0,2.0,4.0
Azir,Twisted Fate,1.0,1.0,0.0
Azir,Veigar,1.0,2.0,-2.0
Azir,Vel'koz,2.0,1.0,2.0
Azir,Zoe,7.0,6.0,2.0
Braum,Galio,1.0,3.0,-4.0
Braum,Lux,3.0,4.0,-2.0
Braum,Nautilus,10.0,9.0,2.0
Braum,Rakan,3.0,3.0,0.0
Braum,Tahm Kench,19.0,20.0,-2.0
Braum,Thresh,2.0,1.0,2.0
Braum,Yuumi,1.0,2.0,-2.0
Caitlyn,Ezreal,1.0,2.0,-2.0
Caitlyn,Lucian,1.0,1.0,0.0
Caitlyn,Sivir,4.0,1.0,6.0
Caitlyn,Sona,2.0,3.0,-2.0
Caitlyn,Varus,1.0,4.0,-6.0
Caitlyn,Xayah,6.0,2.0,8.0
Camille,Aatrox,10.0,7.0,6.0
Camille,Azir,2.0,1.0,2.0
Camille,Gnar,1.0,3.0,-4.0
Camille,Jayce,3.0,6.0,-6.0
Camille,Karma,1.0,1.0,0.0
Camille,Kennen,1.0,2.0,-2.0
Camille,Lissandra,1.0,1.0,0.0
Camille,Mordekaiser,1.0,3.0,-4.0
Camille,Renekton,2.0,3.0,-2.0
Camille,Vladimir,3.0,1.0,4.0
Cassiopeia,Corki,2.0,3.0,-2.0
Corki,Akali,2.0,3.0,-2.0
Corki,Azir,25.0,16.0,18.0
Corki,Cassiopeia,3.0,2.0,2.0
Corki,Irelia,2.0,1.0,2.0
Corki,Jayce,1.0,3.0,-4.0
Corki,Karma,2.0,2.0,0.0
Corki,Lissandra,2.0,1.0,2.0
Corki,Lucian,1.0,1.0,0.0
Corki,Neeko,2.0,1.0,2.0
Corki,Ryze,1.0,4.0,-6.0
Corki,Sylas,1.0,2.0,-2.0
Corki,Taliyah,1.0,1.0,0.0
Corki,Veigar,1.0,1.0,0.0
Corki,Vladimir,2.0,1.0,2.0
Corki,Zed,1.0,1.0,0.0
Corki,Zoe,1.0,5.0,-8.0
Draven,Ezreal,4.0,1.0,6.0
Draven,Xayah,1.0,1.0,0.0
Ekko,Azir,1.0,1.0,0.0
Elise,Gragas,1.0,2.0,-2.0
Elise,Jarvan IV,4.0,4.0,0.0
Elise,Lee Sin,6.0,1.0,10.0
Elise,Olaf,1.0,1.0,0.0
Elise,Rek'Sai,4.0,2.0,4.0
Elise,Sejuani,3.0,5.0,-4.0
Elise,Skarner,1.0,2.0,-2.0
Elise,Xin Zhao,4.0,1.0,6.0
Ezreal,Ashe,3.0,1.0,4.0
Ezreal,Caitlyn,2.0,1.0,2.0
Ezreal,Draven,1.0,4.0,-6.0
Ezreal,Jinx,1.0,2.0,-2.0
Ezreal,Kai'Sa,8.0,8.0,0.0
Ezreal,Kalista,2.0,8.0,-12.0
