matchup,kills,deaths,assists,csat15,oppcsat15,total_gold,damage
"Aatrox , Akali",3.3333333333333335,2.6666666666666665,8.333333333333334,126.66666666666667,136.0,15355.0,16049.333333333334
"Aatrox , Azir",4.333333333333333,0.6666666666666666,9.0,129.33333333333334,137.66666666666666,14094.666666666666,12629.0
"Aatrox , Camille",4.285714285714286,1.0,4.714285714285714,131.8,124.0,12278.8,12691.2
"Aatrox , Fiora",3.4285714285714284,1.1428571428571428,4.428571428571429,129.25,122.75,13688.0,14177.0
"Aatrox , Gangplank",3.727272727272727,1.2727272727272727,4.909090909090909,139.375,112.75,15388.25,17006.375
"Aatrox , Gnar",0.0,2.0,8.0,131.0,138.0,18747.0,16317.0
"Aatrox , Gragas",5.0,3.0,10.0,,,,
"Aatrox , Irelia",3.3,1.5,5.6,126.0,138.0,13239.625,11521.375
"Aatrox , Jax",2.0,0.5,4.5,132.0,113.0,14279.0,10770.5
"Aatrox , Jayce",2.857142857142857,1.5,5.285714285714286,125.42857142857143,133.57142857142858,14009.07142857143,11377.642857142857
"Aatrox , Karma",3.6666666666666665,1.0,4.0,134.5,131.0,11659.0,6867.5
"Aatrox , Kennen",3.090909090909091,2.1818181818181817,4.363636363636363,121.125,119.375,12942.875,13029.625
"Aatrox , Kled",1.0,1.0,7.0,129.0,142.0,13571.0,14153.0
"Aatrox , LeBlanc",3.0,0.0,4.0,130.0,115.0,14232.0,7607.0
"Aatrox , Lee Sin",2.0,2.0,9.0,78.0,82.0,12280.0,9427.0
"Aatrox , Mordekaiser",4.25,1.5,5.0,134.5,122.5,14411.25,16495.0
"Aatrox , Nautilus",5.0,1.0,9.0,,,,
"Aatrox , Neeko",2.8,1.4,4.4,141.5,133.5,13868.5,10115.25
"Aatrox , Ornn",5.0,1.5,4.0,130.5,126.0,16009.5,15608.5
"Aatrox , Poppy",3.6666666666666665,2.0,6.333333333333333,117.66666666666667,111.0,13226.0,16502.333333333332
"Aatrox , Qiyana",4.0,3.0,10.0,129.0,132.0,14634.0,18599.0
"Aatrox , Rek'Sai",2.0,1.0,4.0,117.0,78.0,12131.0,8557.0
"Aatrox , Renekton",2.0,1.0,5.333333333333333,137.5,138.5,14040.0,17742.0
"Aatrox , Riven",5.0,0.0,7.0,130.0,117.0,12705.0,15845.0
"Aatrox , Rumble",5.0,0.0,2.0,139.0,112.0,13616.0,12397.0
"Aatrox , Ryze",5.5,1.5,8.0,139.0,131.0,13973.0,11798.0
"Aatrox , Sejuani",5.0,1.0,6.0,,,,
"Aatrox , Sion",9.0,1.0,7.0,,,,
"Aatrox , Sylas",7.0,2.5,3.5,125.0,124.0,13602.0,15440.0
"Aatrox , Xin Zhao",5.5,1.5,7.0,,,,
"Aatrox , Yasuo",2.0,0.0,6.0,128.0,120.0,11365.0,10117.0
"Ahri , Morgana",5.0,3.0,4.0,161.0,136.0,20000.0,21804.0
"Ahri , Neeko",4.0,2.0,4.0,157.0,155.0,13122.0,11259.0
"Ahri , Vladimir",2.0,1.0,10.0,147.0,144.0,11112.0,13744.0
"Ahri , Zoe",0.0,2.0,5.0,125.0,136.0,11722.0,9710.0
"Akali , Aatrox",3.5,1.75,6.0,143.75,131.5,14161.0,15842.25
"Akali , Azir",4.0,1.5,4.0,132.25,128.75,12505.0,11649.75
"Akali , Corki",5.333333333333333,0.3333333333333333,3.0,156.66666666666666,152.33333333333334,17267.666666666668,16236.0
"Akali , Galio",10.0,0.0,7.0,157.0,120.0,14019.0,15255.0
"Akali , Gangplank",3.0,0.5,3.5,137.0,115.0,16330.5,16152.5
"Akali , Irelia",4.2,2.2,6.4,128.75,129.75,14754.0,16555.25
"Akali , Jayce",5.0,3.0,4.0,129.0,125.0,12479.0,10303.0
"Akali , Karma",3.0,1.5,4.5,127.5,139.5,12831.5,7274.0
"Akali , Kennen",4.0,2.0,5.0,,,,
"Akali , Malzahar",6.0,3.0,8.0,,,,
"Akali , Neeko",4.2,1.0,6.6,129.0,130.0,12072.666666666666,8172.333333333333
"Akali , Renekton",2.6666666666666665,1.0,5.333333333333333,147.0,133.0,12424.0,14856.0
"Akali , Ryze",6.0,0.3333333333333333,4.333333333333333,127.0,136.5,15512.5,12441.0
"Akali , Sylas",4.6,1.2,8.2,138.2,138.6,14446.0,15372.8
"Akali , Syndra",3.0,1.5,7.5,138.0,145.5,12688.5,10288.0
"Akali , Taliyah",5.0,0.0,5.0,154.0,135.0,13987.0,11430.0
"Akali , Twisted Fate",2.0,1.0,7.0,,,,
"Akali , Vladimir",5.0,1.0,7.0,144.0,140.0,15259.0,18346.0
"Akali , Yasuo",7.0,2.0,4.5,122.0,119.5,14328.5,13249.0
"Akali , Zoe",6.5,1.0,4.5,164.0,160.0,13547.0,9623.0
"Alistar , Galio",0.5,4.0,12.0,,,,
"Alistar , Lux",2.0,2.5,12.0,,,,
"Alistar , Nautilus",0.8571428571428571,1.5714285714285714,13.571428571428571,25.5,26.75,8759.25,4773.0
"Alistar , Volibear",0.0,2.0,9.0,27.0,26.0,8461.0,3415.0
"Alistar , Yuumi",1.7142857142857142,1.2857142857142858,10.0,15.0,3.0,7485.0,5237.0
"Anivia , Azir",4.0,2.0,5.0,143.0,129.0,13939.0,12217.0
"Anivia , Neeko",4.0,0.0,6.0,141.0,125.0,14414.0,9250.0
"Anivia , Ryze",3.0,1.0,6.0,156.0,153.0,13658.0,10875.0
"Ashe , Ezreal",4.0,2.0,8.0,147.0,150.0,16194.0,18523.0
"Ashe , Jinx",4.0,1.0,6.0,134.0,154.0,15337.0,20808.0
"Ashe , Kai'Sa",2.0,2.0,4.0,136.0,129.0,16521.5,18264.5
"Ashe , Kalista",0.0,0.0,7.0,156.0,138.0,14734.0,13961.0
"Ashe , Lucian",3.0,2.0,9.0,149.0,135.0,22115.0,45680.0
"Ashe , Sivir",1.5,2.0,8.5,140.66666666666666,153.33333333333334,15763.0,17466.666666666668
"Ashe , Sona",3.0,0.0,15.0,145.0,64.0,12464.0,14350.0
