gameid,league,playerid,gamelength,team,goldat10,oppgoldat10,gdat10,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,blue_result
980560,LEC,100,30.816666666666666,Fnatic,15304.0,16764.0,-1460.0,18459.0,19689.0,-1230.0,334.0,350.0,-16.0,"Blue , 0"
980572,LEC,100,38.166666666666664,Splyce,14971.0,15578.0,-607.0,17729.0,18782.0,-1053.0,302.0,292.0,10.0,"Blue , 1"
980590,LEC,100,31.6,Vitality,15724.0,16456.0,-732.0,19198.0,19628.0,-430.0,326.0,332.0,-6.0,"Blue , 0"
990708,LEC,100,24.55,Rogue,14843.0,15992.0,-1149.0,18476.0,18799.0,-323.0,329.0,316.0,13.0,"Blue , 0"
990721,LEC,100,27.233333333333334,Origen,15801.0,15690.0,111.0,19635.0,19598.0,37.0,344.0,339.0,5.0,"Blue , 0"
980683,LEC,100,24.133333333333333,G2 Esports,17596.0,15190.0,2406.0,21258.0,18765.0,2493.0,356.0,307.0,49.0,"Blue , 1"
980693,LEC,100,27.533333333333335,Excel Esports,14836.0,15973.0,-1137.0,18945.0,18814.0,131.0,317.0,354.0,-37.0,"Blue , 1"
980700,LEC,100,41.0,Splyce,16862.0,15146.0,1716.0,19416.0,18703.0,713.0,319.0,309.0,10.0,"Blue , 0"
980728,LEC,100,29.116666666666667,Fnatic,15637.0,16920.0,-1283.0,18559.0,19851.0,-1292.0,288.0,348.0,-60.0,"Blue , 0"
1041166,LCK,100,33.1,Jin Air Green Wings,16311.0,16480.0,-169.0,18883.0,19029.0,-146.0,313.0,325.0,-12.0,"Blue , 0"
1041205,LCK,100,37.583333333333336,Damwon Gaming,15293.0,15060.0,233.0,19629.0,19575.0,54.0,340.0,330.0,10.0,"Blue , 1"
1041216,LCK,100,29.983333333333334,Gen.G,15815.0,15862.0,-47.0,19007.0,19117.0,-110.0,341.0,316.0,25.0,"Blue , 0"
1041447,LCK,100,36.5,KT Rolster,15989.0,15736.0,253.0,20014.0,19437.0,577.0,362.0,347.0,15.0,"Blue , 1"
1041495,LCK,100,34.36666666666667,Hanwha Life Esports,15768.0,14078.0,1690.0,18829.0,17844.0,985.0,344.0,284.0,60.0,"Blue , 1"
1041504,LCK,100,24.85,Kingzone DragonX,15444.0,15497.0,-53.0,18899.0,19274.0,-375.0,331.0,328.0,3.0,"Blue , 0"
1041535,LCK,100,31.016666666666666,Griffin,16912.0,15364.0,1548.0,19339.0,18975.0,364.0,365.0,317.0,48.0,"Blue , 1"
1041676,LCK,100,36.983333333333334,Gen.G,15721.0,16745.0,-1024.0,18495.0,19787.0,-1292.0,311.0,343.0,-32.0,"Blue , 0"
1041724,LCK,100,31.6,Sandbox Gaming,15573.0,14908.0,665.0,19017.0,17791.0,1226.0,340.0,290.0,50.0,"Blue , 1"
1041734,LCK,100,28.916666666666668,Afreeca Freecs,16233.0,14357.0,1876.0,19670.0,17804.0,1866.0,341.0,308.0,33.0,"Blue , 0"
1041756,LCK,100,25.333333333333332,SK Telecom T1,15609.0,15668.0,-59.0,18688.0,19287.0,-599.0,326.0,343.0,-17.0,"Blue , 1"
1041911,LCK,100,34.56666666666667,KT Rolster,15826.0,15074.0,752.0,19165.0,18896.0,269.0,357.0,323.0,34.0,"Blue , 0"
1031941,LCK,100,27.416666666666668,Griffin,17139.0,15421.0,1718.0,20094.0,18579.0,1515.0,354.0,343.0,11.0,"Blue , 1"
1031972,LCK,100,28.55,Jin Air Green Wings,15283.0,16221.0,-938.0,18285.0,19665.0,-1380.0,335.0,352.0,-17.0,"Blue , 0"
1032162,LCK,100,33.28333333333333,Kingzone DragonX,16298.0,16167.0,131.0,17591.0,19066.0,-1475.0,303.0,340.0,-37.0,"Blue , 0"
1032172,LCK,100,28.35,Sandbox Gaming,16742.0,15067.0,1675.0,19282.0,18037.0,1245.0,327.0,299.0,28.0,"Blue , 1"
1042168,LCK,100,29.966666666666665,Hanwha Life Esports,17029.0,15430.0,1599.0,18441.0,18078.0,363.0,303.0,312.0,-9.0,"Blue , 1"
1030526,CBLoL,100,29.5,Flamengo eSports,16003.0,15323.0,680.0,18297.0,18533.0,-236.0,304.0,312.0,-8.0,"Blue , 1"
1040501,CBLoL,100,39.36666666666667,Vivo Keyd,17381.0,15192.0,2189.0,19291.0,18488.0,803.0,314.0,319.0,-5.0,"Blue , 0"
1040511,CBLoL,100,35.46666666666667,ProGaming Esports,15139.0,15830.0,-691.0,19892.0,19909.0,-17.0,325.0,348.0,-23.0,"Blue , 0"
1040525,CBLoL,100,26.2,INTZ e-Sports,15960.0,16002.0,-42.0,20027.0,19297.0,730.0,355.0,344.0,11.0,"Blue , 1"
1040633,CBLoL,100,37.78333333333333,Uppercut esports,16019.0,15865.0,154.0,19459.0,18965.0,494.0,340.0,340.0,0.0,"Blue , 1"
1040648,CBLoL,100,36.516666666666666,Vivo Keyd,15131.0,16959.0,-1828.0,19074.0,19826.0,-752.0,318.0,334.0,-16.0,"Blue , 0"
1032020,CBLoL,100,41.766666666666666,Redemption eSports,15600.0,15956.0,-356.0,19587.0,20098.0,-511.0,346.0,357.0,-11.0,"Blue , 1"
1032029,CBLoL,100,30.55,INTZ e-Sports,16953.0,15955.0,998.0,19555.0,18224.0,1331.0,353.0,312.0,41.0,"Blue , 1"
1032034,CBLoL,100,35.1,Uppercut esports,15802.0,15490.0,312.0,18659.0,19093.0,-434.0,345.0,332.0,13.0,"Blue , 0"
1032042,CBLoL,100,41.43333333333333,Vivo Keyd,16089.0,16478.0,-389.0,18403.0,19136.0,-733.0,286.0,317.0,-31.0,"Blue , 1"
1042195,CBLoL,100,31.133333333333333,Uppercut esports,16824.0,15375.0,1449.0,19593.0,18192.0,1401.0,349.0,325.0,24.0,"Blue , 1"
1042202,CBLoL,100,43.483333333333334,Redemption eSports,15199.0,15857.0,-658.0,18570.0,19890.0,-1320.0,333.0,328.0,5.0,"Blue , 0"
1042212,CBLoL,100,33.2,CNB e-Sports Club,16903.0,15170.0,1733.0,19335.0,18620.0,715.0,301.0,313.0,-12.0,"Blue , 1"
1042225,CBLoL,100,41.0,Vivo Keyd,15589.0,16367.0,-778.0,18586.0,18961.0,-375.0,339.0,332.0,7.0,"Blue , 1"
1010119,LMS,100,39.7,G-Rex,16370.0,14885.0,1485.0,18509.0,18742.0,-233.0,319.0,304.0,15.0,"Blue , 0"
1031514,LMS,100,37.6,J Team,15966.0,14503.0,1463.0,18732.0,18491.0,241.0,340.0,310.0,30.0,"Blue , 1"
1031533,LMS,100,38.11666666666667,AHQ e-Sports Club,15802.0,16375.0,-573.0,19251.0,19365.0,-114.0,352.0,338.0,14.0,"Blue , 0"
990401,LMS,100,28.916666666666668,MAD Team,15265.0,15944.0,-679.0,19563.0,19446.0,117.0,317.0,341.0,-24.0,"Blue , 1"
1031732,LMS,100,23.333333333333332,Alpha Esports,15281.0,17111.0,-1830.0,18674.0,19858.0,-1184.0,321.0,327.0,-6.0,"Blue , 0"
980537,LMS,100,43.416666666666664,Alpha Esports,15490.0,14809.0,681.0,18231.0,18793.0,-562.0,332.0,319.0,13.0,"Blue , 1"
1031777,LMS,100,27.05,Hong Kong Attitude,16008.0,17319.0,-1311.0,18587.0,19860.0,-1273.0,346.0,335.0,11.0,"Blue , 0"
990635,LMS,100,32.166666666666664,Hong Kong Attitude,14695.0,15683.0,-988.0,18648.0,19471.0,-823.0,310.0,336.0,-26.0,"Blue , 1"
1031795,LMS,100,27.2,Flash Wolves,15865.0,16519.0,-654.0,19634.0,19237.0,397.0,339.0,359.0,-20.0,"Blue , 1"
1031935,LMS,100,43.36666666666667,J Team,15411.0,15541.0,-130.0,19067.0,19464.0,-397.0,350.0,330.0,20.0,"Blue , 1"
980667,LMS,100,31.183333333333334,AHQ e-Sports Club,16287.0,15636.0,651.0,18770.0,19331.0,-561.0,306.0,329.0,-23.0,"Blue , 0"
1031967,LMS,100,28.716666666666665,Flash Wolves,16415.0,15337.0,1078.0,20699.0,17847.0,2852.0,352.0,312.0,40.0,"Blue , 1"
990798,LMS,100,41.45,MAD Team,14917.0,15899.0,-982.0,18784.0,19192.0,-408.0,291.0,330.0,-39.0,"Blue , 1"
1031998,LMS,100,36.016666666666666,Flash Wolves,15536.0,16515.0,-979.0,19431.0,19273.0,158.0,331.0,324.0,7.0,"Blue , 0"
1032839,LCK,100,45.71666666666667,KT Rolster,15206.0,16562.0,-1356.0,19352.0,20062.0,-710.0,336.0,355.0,-19.0,"Blue , 0"
1032853,LCK,100,26.566666666666666,Kingzone DragonX,16258.0,15074.0,1184.0,18920.0,18399.0,521.0,315.0,309.0,6.0,"Blue , 1"
1042854,LCK,100,37.333333333333336,Hanwha Life Esports,16099.0,15338.0,761.0,18497.0,17997.0,500.0,321.0,301.0,20.0,"Blue , 0"
1032906,LCK,100,28.966666666666665,Griffin,16711.0,15720.0,991.0,19143.0,18328.0,815.0,323.0,295.0,28.0,"Blue , 1"
1043122,LCK,100,33.21666666666667,Sandbox Gaming,16033.0,16396.0,-363.0,19460.0,19613.0,-153.0,363.0,331.0,32.0,"Blue , 0"
1043158,LCK,100,29.283333333333335,SK Telecom T1,15411.0,16202.0,-791.0,17588.0,18697.0,-1109.0,303.0,297.0,6.0,"Blue , 0"
1043203,LCK,100,32.43333333333333,Gen.G,15624.0,15610.0,14.0,19491.0,19591.0,-100.0,336.0,330.0,6.0,"Blue , 0"
